Text,label
"Entre les deux il y a le gris  c’est un mélange de blanc et de noir ['Entre', 'les', 'deux', 'il', 'y', 'a', 'le', 'gris', ' ', 'c’', 'est', 'un', 'mélange', 'de', 'blanc', 'et', 'de', 'noir'] []",A1
"Et bien sûr cest également la saison parfaite pour savourer une boisson chaude emmitouflée dans une couverture devant un bon feu de cheminée ['Et', 'bien', 'sûr', 'cest', 'également', 'la', 'saison', 'parfaite', 'pour', 'savourer', 'une', 'boisson', 'chaude', 'emmitouflée', 'dans', 'une', 'couverture', 'devant', 'un', 'bon', 'feu', 'de', 'cheminée'] ['cheminée']",A1
"Et bien sûr nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden ['Et', 'bien', 'sûr', 'nous', 'irons', 'faire', 'du', 'shopping', 'à', 'Oxford', 'Street', 'et', 'dans', 'le', 'quartier', 'de', 'Covent', 'Garden'] []",A1
"Fais vite le film commence dans 10 minutes ['Fais', 'vite', 'le', 'film', 'commence', 'dans', '10', 'minutes'] ['minutes']",A1
"Geoffrey adore son béret bleu foncé ['Geoffrey', 'adore', 'son', 'béret', 'bleu', 'foncé'] []",A1
"Il a rendezvous chez le médecin ['Il', 'a', 'rendezvous', 'chez', 'le', 'médecin'] []",A1
"Il est 17h ['Il', 'est', '17h'] []",A1
"Il est agréable de marcher dans les petites rues pour admirer larchitecture des maisons anciennes ['Il', 'est', 'agréable', 'de', 'marcher', 'dans', 'les', 'petites', 'rues', 'pour', 'admirer', 'larchitecture', 'des', 'maisons', 'anciennes'] ['marcher' 'admirer']",A1
"Il est agréable de se promener pour observer les papillons les abeilles et écouter le chant des oiseaux ['Il', 'est', 'agréable', 'de', 'se', 'promener', 'pour', 'observer', 'les', 'papillons', 'les', 'abeilles', 'et', 'écouter', 'le', 'chant', 'des', 'oiseaux'] []",A1
"Il est l’heure de déjeuner ['Il', 'est', 'l’', 'heure', 'de', 'déjeuner'] ['heure']",A1
"Il est possible de faire du vélo dans un parc autour dune citadelle fortifiée ['Il', 'est', 'possible', 'de', 'faire', 'du', 'vélo', 'dans', 'un', 'parc', 'autour', 'dune', 'citadelle', 'fortifiée'] ['possible' 'parc' 'dune']",A1
"Il naimait pas les plats de la cantine ['Il', 'naimait', 'pas', 'les', 'plats', 'de', 'la', 'cantine'] []",A1
"Il ne reste pas seul chez lui ce soir ['Il', 'ne', 'reste', 'pas', 'seul', 'chez', 'lui', 'ce', 'soir'] []",A1
"Il ne vient pas à la fête ce soir ['Il', 'ne', 'vient', 'pas', 'à', 'la', 'fête', 'ce', 'soir'] []",A1
"Il vient à la cérémonie ce soir ['Il', 'vient', 'à', 'la', 'cérémonie', 'ce', 'soir'] ['cérémonie']",A1
"Il vit à Paris avec ses parents et sa petite sœur Julie âgée de 8 ans ['Il', 'vit', 'à', 'Paris', 'avec', 'ses', 'parents', 'et', 'sa', 'petite', 'sœur', 'Julie', 'âgée', 'de', '8', 'ans'] []",A1
"Il y a un quartier très agréable pour aller se balader lorsquil fait beau ['Il', 'y', 'a', 'un', 'quartier', 'très', 'agréable', 'pour', 'aller', 'se', 'balader', 'lorsquil', 'fait', 'beau'] []",A1
"Ils aiment venir passer le weekend à la maison ainsi mes enfants jouent avec leurs cousins dans le jardin ['Ils', 'aiment', 'venir', 'passer', 'le', 'weekend', 'à', 'la', 'maison', 'ainsi', 'mes', 'enfants', 'jouent', 'avec', 'leurs', 'cousins', 'dans', 'le', 'jardin'] ['weekend' 'jardin']",A1
"Ils prennent des risques énormes ['Ils', 'prennent', 'des', 'risques', 'énormes'] []",A1
"Ils veulent admirer la célèbre Sagrada Familia se balader dans le Parc Güell et goûter la nourriture locale ['Ils', 'veulent', 'admirer', 'la', 'célèbre', 'Sagrada', 'Familia', 'se', 'balader', 'dans', 'le', 'Parc', 'Güell', 'et', 'goûter', 'la', 'nourriture', 'locale'] ['admirer' 'locale']",A1
"Jai une soeur ['Jai', 'une', 'soeur'] []",A1
"Jespères que tu vas bien ['Jespères', 'que', 'tu', 'vas', 'bien'] []",A1
"Jhabite une belle ville dans le nord de la France ['Jhabite', 'une', 'belle', 'ville', 'dans', 'le', 'nord', 'de', 'la', 'France'] []",A1
"J’achète un livre un pantalon et une nouvelle lampe pour ma chambre ['J’', 'achète', 'un', 'livre', 'un', 'pantalon', 'et', 'une', 'nouvelle', 'lampe', 'pour', 'ma', 'chambre'] []",A1
"J’adore ma grandmère elle très gentille ['J’', 'adore', 'ma', 'grandmère', 'elle', 'très', 'gentille'] []",A1
"J’ai déjà pris l’avion car nous sommes allés à Rome en Italie il y a deux ans ['J’', 'ai', 'déjà', 'pris', 'l’', 'avion', 'car', 'nous', 'sommes', 'allés', 'à', 'Rome', 'en', 'Italie', 'il', 'y', 'a', 'deux', 'ans'] []",A1
"J’ai deux frères ['J’', 'ai', 'deux', 'frères'] []",A1
"J’ai hâte que tu viennes me rendre visite le mois prochain pour te montrer mes endroits préférés ['J’', 'ai', 'hâte', 'que', 'tu', 'viennes', 'me', 'rendre', 'visite', 'le', 'mois', 'prochain', 'pour', 'te', 'montrer', 'mes', 'endroits', 'préférés'] []",A1
"J’ai passé une très bonne journée de vacances ['J’', 'ai', 'passé', 'une', 'très', 'bonne', 'journée', 'de', 'vacances'] []",A1
"J’aime beaucoup l’école ['J’', 'aime', 'beaucoup', 'l’', 'école'] []",A1
"J’aime beaucoup lire et je nage très bien ['J’', 'aime', 'beaucoup', 'lire', 'et', 'je', 'nage', 'très', 'bien'] []",A1
"J’en profite pour faire une grassematinée et je sors de mon lit à dix heures ['J’', 'en', 'profite', 'pour', 'faire', 'une', 'grassematinée', 'et', 'je', 'sors', 'de', 'mon', 'lit', 'à', 'dix', 'heures'] []",A1
"J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial ['J’', 'enfile', 'une', 'jolie', 'robe', 'et', 'je', 'pars', 'rejoindre', 'mes', 'amis', 'au', 'centre', 'commercial'] ['centre' 'commercial']",A1
"J’espère qu’il y aura beaucoup de soleil ['J’', 'espère', 'qu’', 'il', 'y', 'aura', 'beaucoup', 'de', 'soleil'] ['aura']",A1
"Je commande du poisson avec de la purée ['Je', 'commande', 'du', 'poisson', 'avec', 'de', 'la', 'purée'] []",A1
"Je cours dans ma chambre et je me dépêche de mhabiller et de me maquiller puis je vais prendre le métro ['Je', 'cours', 'dans', 'ma', 'chambre', 'et', 'je', 'me', 'dépêche', 'de', 'mhabiller', 'et', 'de', 'me', 'maquiller', 'puis', 'je', 'vais', 'prendre', 'le', 'métro'] []",A1
"Je débouche votre lavabo ou votre baignoire ['Je', 'débouche', 'votre', 'lavabo', 'ou', 'votre', 'baignoire'] []",A1
"Je dois beaucoup travailler mais ça me plaît ['Je', 'dois', 'beaucoup', 'travailler', 'mais', 'ça', 'me', 'plaît'] []",A1
"Je m’appelle Hugo et j’ai seize ans ['Je', 'm’', 'appelle', 'Hugo', 'et', 'j’', 'ai', 'seize', 'ans'] []",A1
"Je m’appelle Jessica ['Je', 'm’', 'appelle', 'Jessica'] []",A1
"Je m’appelle Marie ['Je', 'm’', 'appelle', 'Marie'] []",A1
"Je mange deux tartines de pain un grand bol de café et un yaourt aux fruits rouges ['Je', 'mange', 'deux', 'tartines', 'de', 'pain', 'un', 'grand', 'bol', 'de', 'café', 'et', 'un', 'yaourt', 'aux', 'fruits', 'rouges'] []",A1
"Je nai aucune nouvelle depuis son départ ['Je', 'nai', 'aucune', 'nouvelle', 'depuis', 'son', 'départ'] []",A1
"Je nai pas vraiment dappétit le matin même si je sais que cest le repas le plus important de la journée ['Je', 'nai', 'pas', 'vraiment', 'dappétit', 'le', 'matin', 'même', 'si', 'je', 'sais', 'que', 'cest', 'le', 'repas', 'le', 'plus', 'important', 'de', 'la', 'journée'] ['plus' 'important']",A1
"Je n’aime pas la pluie surtout pendant les vacances ['Je', 'n’', 'aime', 'pas', 'la', 'pluie', 'surtout', 'pendant', 'les', 'vacances'] []",A1
"Je ne sais pas où elles sont ['Je', 'ne', 'sais', 'pas', 'où', 'elles', 'sont'] []",A1
"Je partage un appartement avec deux autres étudiantes ['Je', 'partage', 'un', 'appartement', 'avec', 'deux', 'autres', 'étudiantes'] []",A1
"Je peux voir le docteur le matin ['Je', 'peux', 'voir', 'le', 'docteur', 'le', 'matin'] ['docteur']",A1
"Je prends mon petitdéjeuner dans la cuisine ['Je', 'prends', 'mon', 'petitdéjeuner', 'dans', 'la', 'cuisine'] []",A1
"Je profite aussi du petit déjeuner pour lire les infos en ligne ['Je', 'profite', 'aussi', 'du', 'petit', 'déjeuner', 'pour', 'lire', 'les', 'infos', 'en', 'ligne'] ['ligne']",A1
"Je rentre à la maison à 19 heures ['Je', 'rentre', 'à', 'la', 'maison', 'à', '19', 'heures'] []",A1
"Je reste à la maison ['Je', 'reste', 'à', 'la', 'maison'] []",A1
"Je suis arrivée il y a un mois et j’habite en colocation avec deux copines ['Je', 'suis', 'arrivée', 'il', 'y', 'a', 'un', 'mois', 'et', 'j’', 'habite', 'en', 'colocation', 'avec', 'deux', 'copines'] []",A1
"Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université ['Je', 'suis', 'bien', 'arrivée', 'à', 'Londres', 'pour', 'ma', 'dernière', 'année', 'd’', 'études', 'de', 'marketing', 'à', 'l’', 'université'] ['université']",A1
"Je suis chez Camille ['Je', 'suis', 'chez', 'Camille'] []",A1
"Je suis contente je vais voir Amélie ['Je', 'suis', 'contente', 'je', 'vais', 'voir', 'Amélie'] []",A1
"Je suis désolé ['Je', 'suis', 'désolé'] []",A1
"Je suis en vacances ['Je', 'suis', 'en', 'vacances'] []",A1
"Je suis malade ['Je', 'suis', 'malade'] []",A1
"Je suis secrétaire et je m’occupe de mes deux enfants quand ils rentrent de l’école ['Je', 'suis', 'secrétaire', 'et', 'je', 'm’', 'occupe', 'de', 'mes', 'deux', 'enfants', 'quand', 'ils', 'rentrent', 'de', 'l’', 'école'] []",A1
"Je suis très gourmande et jadore également lautomne à cause de ses fruits et légumes de saison ['Je', 'suis', 'très', 'gourmande', 'et', 'jadore', 'également', 'lautomne', 'à', 'cause', 'de', 'ses', 'fruits', 'et', 'légumes', 'de', 'saison'] ['cause']",A1
"Je suis une fille je suis française et j’ai treize ans ['Je', 'suis', 'une', 'fille', 'je', 'suis', 'française', 'et', 'j’', 'ai', 'treize', 'ans'] []",A1
"Je tappelle demain ['Je', 'tappelle', 'demain'] []",A1
"Je tinvite à manger chez moi mardi 23 mars ['Je', 'tinvite', 'à', 'manger', 'chez', 'moi', 'mardi', '23', 'mars'] ['mars']",A1
"Je t’envoie de gros bisous ['Je', 't’', 'envoie', 'de', 'gros', 'bisous'] []",A1
"Je vais à l’école à Nice mais j’habite à CagnesSurMer ['Je', 'vais', 'à', 'l’', 'école', 'à', 'Nice', 'mais', 'j’', 'habite', 'à', 'CagnesSurMer'] []",A1
"Je vais aller la chercher ['Je', 'vais', 'aller', 'la', 'chercher'] []",A1
"Je vais en Grèce avec mon amie ['Je', 'vais', 'en', 'Grèce', 'avec', 'mon', 'amie'] []",A1
"Je vais ensuite prendre ma douche dans ma salledebain ['Je', 'vais', 'ensuite', 'prendre', 'ma', 'douche', 'dans', 'ma', 'salledebain'] []",A1
"Je vais étudier langlais ['Je', 'vais', 'étudier', 'langlais'] ['étudier']",A1
"Je vous coupe les cheveux ['Je', 'vous', 'coupe', 'les', 'cheveux'] []",A1
"Laprèsmidi elle se promène dans la campagne ou elle explore la région ['Laprèsmidi', 'elle', 'se', 'promène', 'dans', 'la', 'campagne', 'ou', 'elle', 'explore', 'la', 'région'] []",A1
"Lautonomne est ma saison préferée et voici mes raisons ['Lautonomne', 'est', 'ma', 'saison', 'préferée', 'et', 'voici', 'mes', 'raisons'] []",A1
"L’automne débute fin septembre ['L’', 'automne', 'débute', 'fin', 'septembre'] ['septembre']",A1
"L’automne est aussi la saison des récoltes  on ramasse le maïs le tournesol les pommes le raisin… Vient ensuite l’hiver la saison la plus froide qui commence fin décembre ['L’', 'automne', 'est', 'aussi', 'la', 'saison', 'des', 'récoltes', ' ', 'on', 'ramasse', 'le', 'maïs', 'le', 'tournesol', 'les', 'pommes', 'le', 'raisin', '…', 'Vient', 'ensuite', 'l’', 'hiver', 'la', 'saison', 'la', 'plus', 'froide', 'qui', 'commence', 'fin', 'décembre'] ['plus' 'décembre']",A1
"L’orange est la couleur de certains fruits comme l’orange qui porte son nom la clémentine ou l’abricot ['L’', 'orange', 'est', 'la', 'couleur', 'de', 'certains', 'fruits', 'comme', 'l’', 'orange', 'qui', 'porte', 'son', 'nom', 'la', 'clémentine', 'ou', 'l’', 'abricot'] ['orange' 'couleur' 'orange']",A1
"L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans ['L’', 'une', 's’', 'appelle', 'Jennifer', 'et', 'elle', 'a', '21', 'ans', 'et', 'l’', 'autre', 's’', 'appelle', 'Ashley', 'et', 'elle', 'a', '22', 'ans'] []",A1
"La nature change et devient plus secrète les animaux se cachent et les contes et les légendes fleurissent ['La', 'nature', 'change', 'et', 'devient', 'plus', 'secrète', 'les', 'animaux', 'se', 'cachent', 'et', 'les', 'contes', 'et', 'les', 'légendes', 'fleurissent'] ['nature' 'plus']",A1
"La nature redevient verte  l’herbe et les fleurs poussent à nouveau ['La', 'nature', 'redevient', 'verte', ' ', 'l’', 'herbe', 'et', 'les', 'fleurs', 'poussent', 'à', 'nouveau'] ['nature']",A1
"Làbas tout le monde parle anglais ['Làbas', 'tout', 'le', 'monde', 'parle', 'anglais'] []",A1
"Laura est la sœur de Julie ['Laura', 'est', 'la', 'sœur', 'de', 'Julie'] []",A1
"Le bleu est très présent dans la nature  c’est la couleur du ciel et de la mer ['Le', 'bleu', 'est', 'très', 'présent', 'dans', 'la', 'nature', ' ', 'c’', 'est', 'la', 'couleur', 'du', 'ciel', 'et', 'de', 'la', 'mer'] ['nature' 'couleur']",A1
"Le brun aussi appelé marron est la couleur du café de la terre et de l’écorce des arbres ['Le', 'brun', 'aussi', 'appelé', 'marron', 'est', 'la', 'couleur', 'du', 'café', 'de', 'la', 'terre', 'et', 'de', 'l’', 'écorce', 'des', 'arbres'] ['couleur']",A1
"Le dimanche nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux ['Le', 'dimanche', 'nous', 'aimons', 'nous', 'promener', 'en', 'famille', 'dans', 'la', 'forêt', 'proche', 'de', 'notre', 'maison', 'et', 'faire', 'des', 'jeux'] ['famille']",A1
"Le jaune est la couleur des bananes du maïs ou des poussins par exemple ['Le', 'jaune', 'est', 'la', 'couleur', 'des', 'bananes', 'du', 'maïs', 'ou', 'des', 'poussins', 'par', 'exemple'] ['couleur']",A1
"Le matin elle va au marché du village pour acheter des fruits et des légumes et pour discuter avec ses voisins ['Le', 'matin', 'elle', 'va', 'au', 'marché', 'du', 'village', 'pour', 'acheter', 'des', 'fruits', 'et', 'des', 'légumes', 'et', 'pour', 'discuter', 'avec', 'ses', 'voisins'] ['village' 'discuter']",A1
"Le paysage devient tout blanc à cause de la neige et de la glace ['Le', 'paysage', 'devient', 'tout', 'blanc', 'à', 'cause', 'de', 'la', 'neige', 'et', 'de', 'la', 'glace'] ['cause']",A1
"Le premier s’appelle Thomas il a quatorze ans ['Le', 'premier', 's’', 'appelle', 'Thomas', 'il', 'a', 'quatorze', 'ans'] []",A1
"Le quartier est tranquille et agréable et pas trop loin de l’Université ['Le', 'quartier', 'est', 'tranquille', 'et', 'agréable', 'et', 'pas', 'trop', 'loin', 'de', 'l’', 'Université'] []",A1
"Le rouge est une couleur vive ['Le', 'rouge', 'est', 'une', 'couleur', 'vive'] ['couleur']",A1
"Le rouge le jaune et le bleu sont les trois couleurs primaires ['Le', 'rouge', 'le', 'jaune', 'et', 'le', 'bleu', 'sont', 'les', 'trois', 'couleurs', 'primaires'] []",A1
"Le second s’appelle Yann et il a neuf ans ['Le', 'second', 's’', 'appelle', 'Yann', 'et', 'il', 'a', 'neuf', 'ans'] []",A1
"Le service des affaires socioculturelles de l’Université ['Le', 'service', 'des', 'affaires', 'socioculturelles', 'de', 'l’', 'Université'] ['service']",A1
"Le temps devient de plus en plus frais il commence à y avoir de la pluie et du vent ['Le', 'temps', 'devient', 'de', 'plus', 'en', 'plus', 'frais', 'il', 'commence', 'à', 'y', 'avoir', 'de', 'la', 'pluie', 'et', 'du', 'vent'] ['plus' 'plus']",A1
"Le train de ma soeur arrive à 20h05 ['Le', 'train', 'de', 'ma', 'soeur', 'arrive', 'à', '20h05'] []",A1
"Le trajet ne dure que 20 minutes ['Le', 'trajet', 'ne', 'dure', 'que', '20', 'minutes'] ['minutes']",A1
"Le vert par exemple est la couleur de l’herbe et des feuilles des arbres ['Le', 'vert', 'par', 'exemple', 'est', 'la', 'couleur', 'de', 'l’', 'herbe', 'et', 'des', 'feuilles', 'des', 'arbres'] ['couleur']",A1
"Le violet se retrouve chez de nombreuses fleurs comme le lilas ['Le', 'violet', 'se', 'retrouve', 'chez', 'de', 'nombreuses', 'fleurs', 'comme', 'le', 'lilas'] ['violet']",A1
"Le weekend Pierre aime passer du temps en famille ['Le', 'weekend', 'Pierre', 'aime', 'passer', 'du', 'temps', 'en', 'famille'] ['weekend' 'famille']",A1
"Les enfants aiment faire du vélo avec leur grandpère après l’école ['Les', 'enfants', 'aiment', 'faire', 'du', 'vélo', 'avec', 'leur', 'grandpère', 'après', 'l’', 'école'] []",A1
"Les grandsparents de nos enfants aiment passer du temps avec nous lors des vacances ['Les', 'grandsparents', 'de', 'nos', 'enfants', 'aiment', 'passer', 'du', 'temps', 'avec', 'nous', 'lors', 'des', 'vacances'] []",A1
"Les parents de mon mari habitent très loin de chez nous mais mes parents ont une maison à quelques kilomètres de la nôtre ['Les', 'parents', 'de', 'mon', 'mari', 'habitent', 'très', 'loin', 'de', 'chez', 'nous', 'mais', 'mes', 'parents', 'ont', 'une', 'maison', 'à', 'quelques', 'kilomètres', 'de', 'la', 'nôtre'] []",A1
"Les vacances sont les moments préférés de Pierre car il a pour habitude daller chez ses grandsparents qui vivent dans une ferme de la campagne normande ['Les', 'vacances', 'sont', 'les', 'moments', 'préférés', 'de', 'Pierre', 'car', 'il', 'a', 'pour', 'habitude', 'daller', 'chez', 'ses', 'grandsparents', 'qui', 'vivent', 'dans', 'une', 'ferme', 'de', 'la', 'campagne', 'normande'] []",A1
"Londres est différent de Paris ['Londres', 'est', 'différent', 'de', 'Paris'] ['différent']",A1
"Lundi je retourne à l’école ['Lundi', 'je', 'retourne', 'à', 'l’', 'école'] []",A1
"Ma boisson préferée est un chocolat chaud avec une pincée de cannelle ['Ma', 'boisson', 'préferée', 'est', 'un', 'chocolat', 'chaud', 'avec', 'une', 'pincée', 'de', 'cannelle'] []",A1
"Ma famille se compose de quatre personnes ['Ma', 'famille', 'se', 'compose', 'de', 'quatre', 'personnes'] ['famille']",A1
"Ma fille fait parfois des gâteaux avec sa grandmère le samedi aprèsmidi ['Ma', 'fille', 'fait', 'parfois', 'des', 'gâteaux', 'avec', 'sa', 'grandmère', 'le', 'samedi', 'aprèsmidi'] []",A1
"Ma mère est allemande et est avocate ['Ma', 'mère', 'est', 'allemande', 'et', 'est', 'avocate'] []",A1
